"seqnames"	"start"	"end"	"width"	"strand"	"sampleName"	"median"	"mean"	"CN"
"1"	"chrA"	1	1775000	1775000	"*"	"S_1"	1.23479909608203e-53	5.73804588008282e-10	"CN2"
"2"	"chrA"	1775001	1850000	75000	"*"	"S_1"	-0.999999997159987	-0.99999948264252	"CN1"
"3"	"chrA"	1850001	53300000	51450000	"*"	"S_1"	8.7625880008156e-53	-0.000241535245311049	"CN2"
"4"	"chrA"	53300001	53400000	100000	"*"	"S_1"	-5.32192809488736	-5.32192809488651	"CN0"
"5"	"chrA"	53400001	113175000	59775000	"*"	"S_1"	1.57295758613015e-53	-0.00446059615531252	"CN2"
"6"	"chrA"	113175001	113325000	150000	"*"	"S_1"	-0.999909988127777	-0.999682484828253	"CN1"
"7"	"chrA"	113325001	125000000	11675000	"*"	"S_1"	2.79828914981109e-53	0.00138187068314709	"CN2"
"8"	"chrA"	1	48575000	48575000	"*"	"S_2"	1.48013893572014e-52	0.00104990457432031	"CN2"
"9"	"chrA"	48575001	48650000	75000	"*"	"S_2"	-5.32192809488736	-5.32192809488736	"CN0"
"10"	"chrA"	48650001	70625000	21975000	"*"	"S_2"	3.8263809073938e-53	5.41627871754849e-05	"CN2"
"11"	"chrA"	70625001	70750000	125000	"*"	"S_2"	-5.32192809488736	-5.32192809428305	"CN0"
"12"	"chrA"	70750001	90625000	19875000	"*"	"S_2"	2.71178626950082e-54	2.93730591382853e-06	"CN2"
"13"	"chrA"	90625001	90800000	175000	"*"	"S_2"	-0.999988737497265	-0.999775702734297	"CN1"
"14"	"chrA"	90800001	125000000	34200000	"*"	"S_2"	3.33033066348698e-53	-0.00108185553709614	"CN2"
"15"	"chrA"	1	5525000	5525000	"*"	"S_3"	7.33605885937387e-53	3.47596307324895e-07	"CN2"
"16"	"chrA"	5525001	5600000	75000	"*"	"S_3"	-0.999380992874874	-0.666460378736387	"CN2"
"17"	"chrA"	5600001	40750000	35150000	"*"	"S_3"	7.30695226314032e-53	1.67370594922633e-06	"CN2"
"18"	"chrA"	40750001	40825000	75000	"*"	"S_3"	0.648880227861997	0.548653265247639	"CN3"
"19"	"chrA"	40825001	65475000	24650000	"*"	"S_3"	2.21809024848638e-53	2.78508392791896e-06	"CN2"
"20"	"chrA"	65475001	65550000	75000	"*"	"S_3"	-0.905840401928504	-0.632896145557108	"CN2"
"21"	"chrA"	65550001	125000000	59450000	"*"	"S_3"	7.55992662823261e-54	-0.000374082867540844	"CN2"
"22"	"chrA"	1	125000000	125000000	"*"	"S_4"	2.30178201753787e-53	0.000163917958962848	"CN2"
"23"	"chrA"	1	5525000	5525000	"*"	"S_5"	2.8580982955016e-53	5.70512790119248e-06	"CN2"
"24"	"chrA"	5525001	5600000	75000	"*"	"S_5"	-5.32192809488736	-3.88096870782204	"CN0"
"25"	"chrA"	5600001	18850000	13250000	"*"	"S_5"	2.38171404230381e-52	9.97560586225822e-07	"CN2"
"26"	"chrA"	18850001	19000000	150000	"*"	"S_5"	-0.999995281220361	-0.835229650303326	"CN2"
"27"	"chrA"	19000001	30025000	11025000	"*"	"S_5"	1.94784745438995e-51	2.05780465037093e-06	"CN2"
"28"	"chrA"	30025001	30125000	100000	"*"	"S_5"	-0.999999709703179	-0.999976723219153	"CN1"
"29"	"chrA"	30125001	64850000	34725000	"*"	"S_5"	8.31740482482726e-53	0.000146184839802597	"CN2"
"30"	"chrA"	64850001	64950000	100000	"*"	"S_5"	-0.99962427294906	-0.983152540323417	"CN1"
"31"	"chrA"	64950001	113175000	48225000	"*"	"S_5"	1.39107507080623e-53	1.80182399499631e-05	"CN2"
"32"	"chrA"	113175001	113325000	150000	"*"	"S_5"	-5.32192809488736	-5.3219280948674	"CN0"
"33"	"chrA"	113325001	125000000	11675000	"*"	"S_5"	2.59216848371937e-53	-0.00123008683604235	"CN2"
"34"	"chrA"	1	30025000	30025000	"*"	"S_6"	1.46915850745665e-52	-0.000292963343469681	"CN2"
"35"	"chrA"	30025001	30125000	100000	"*"	"S_6"	-0.999586761347485	-0.750291185541131	"CN2"
"36"	"chrA"	30125001	87375000	57250000	"*"	"S_6"	1.34190686349068e-53	0.00026468590480543	"CN2"
"37"	"chrA"	87375001	87450000	75000	"*"	"S_6"	-0.999915611696777	-0.999914448551334	"CN1"
"38"	"chrA"	87450001	87950000	500000	"*"	"S_6"	1.08769874950271e-54	3.785282642593e-35	"CN2"
"39"	"chrA"	87950001	88125000	175000	"*"	"S_6"	-0.999994350842496	-0.99224284413077	"CN1"
"40"	"chrA"	88125001	125000000	36875000	"*"	"S_6"	5.8884896277691e-53	8.33700956754728e-05	"CN2"
"41"	"chrA"	1	1775000	1775000	"*"	"S_7"	4.58235718769179e-53	6.51278695399128e-06	"CN2"
"42"	"chrA"	1775001	1850000	75000	"*"	"S_7"	-0.96066964825306	-0.669109467898804	"CN2"
"43"	"chrA"	1850001	30025000	28175000	"*"	"S_7"	1.95859193150813e-52	8.18308750288659e-05	"CN2"
"44"	"chrA"	30025001	30125000	100000	"*"	"S_7"	-5.32192809488733	-5.32192809488631	"CN0"
"45"	"chrA"	30125001	50700000	20575000	"*"	"S_7"	2.08073795603363e-53	0.000447457685156639	"CN2"
"46"	"chrA"	50700001	50850000	150000	"*"	"S_7"	-0.999999833703356	-0.999821739543091	"CN1"
"47"	"chrA"	50850001	113175000	62325000	"*"	"S_7"	1.42380155012384e-53	0.000237432857306508	"CN2"
"48"	"chrA"	113175001	113325000	150000	"*"	"S_7"	-5.32192809488736	-5.32192809488733	"CN0"
"49"	"chrA"	113325001	125000000	11675000	"*"	"S_7"	3.54254889081427e-53	0.00110222972272105	"CN2"
"50"	"chrA"	1	90625000	90625000	"*"	"S_8"	2.44096445869203e-53	-0.000157810843211932	"CN2"
"51"	"chrA"	90625001	90800000	175000	"*"	"S_8"	-0.999998987630093	-0.99249825886234	"CN1"
"52"	"chrA"	90800001	113175000	22375000	"*"	"S_8"	4.4647964421445e-53	-0.002220124503744	"CN2"
"53"	"chrA"	113175001	113325000	150000	"*"	"S_8"	-0.999909092564652	-0.999573121535028	"CN1"
"54"	"chrA"	113325001	125000000	11675000	"*"	"S_8"	5.48717236076272e-54	7.29111511722189e-06	"CN2"
"55"	"chrA"	1	40750000	40750000	"*"	"S_9"	4.94368549192879e-53	1.89655880003978e-06	"CN2"
"56"	"chrA"	40750001	40825000	75000	"*"	"S_9"	0.580412847137637	0.389406762906023	"CN2"
"57"	"chrA"	40825001	70625000	29800000	"*"	"S_9"	2.74326920837789e-53	0.000500250106368626	"CN2"
"58"	"chrA"	70625001	70750000	125000	"*"	"S_9"	-0.999638888467948	-0.99302115209145	"CN1"
"59"	"chrA"	70750001	125000000	54250000	"*"	"S_9"	1.96640842958804e-53	-0.000670857703017521	"CN2"
"60"	"chrA"	1	1775000	1775000	"*"	"S_10"	3.68920519647054e-52	3.59765478114754e-10	"CN2"
"61"	"chrA"	1775001	1850000	75000	"*"	"S_10"	-0.999999947448074	-0.985719533468531	"CN1"
"62"	"chrA"	1850001	5525000	3675000	"*"	"S_10"	1.25756938833643e-52	2.09831714936466e-06	"CN2"
"63"	"chrA"	5525001	5600000	75000	"*"	"S_10"	-5.32192809488683	-3.54795206325807	"CN0"
"64"	"chrA"	5600001	18850000	13250000	"*"	"S_10"	8.09428659163197e-53	4.51518999482348e-05	"CN2"
"65"	"chrA"	18850001	19000000	150000	"*"	"S_10"	-0.999999301800236	-0.999975175057028	"CN1"
"66"	"chrA"	19000001	30025000	11025000	"*"	"S_10"	1.03580202607932e-51	9.65198128802917e-08	"CN2"
"67"	"chrA"	30025001	30125000	100000	"*"	"S_10"	-0.999939565088883	-0.997984101353998	"CN1"
"68"	"chrA"	30125001	50350000	20225000	"*"	"S_10"	1.42157733330626e-52	6.29911985443906e-06	"CN2"
"69"	"chrA"	50350001	50450000	100000	"*"	"S_10"	-5.32192809488736	-5.32192809488736	"CN0"
"70"	"chrA"	50450001	125000000	74550000	"*"	"S_10"	9.63698070809361e-54	-0.000637422696247707	"CN2"
"71"	"chrA"	1	87375000	87375000	"*"	"S_11"	2.0132179114867e-53	0.000431242143289736	"CN2"
"72"	"chrA"	87375001	87450000	75000	"*"	"S_11"	-0.999962702433858	-0.995471287548239	"CN1"
"73"	"chrA"	87450001	110625000	23175000	"*"	"S_11"	2.5629108498688e-53	-0.00217151206184573	"CN2"
"74"	"chrA"	110625001	110725000	100000	"*"	"S_11"	0.58489198718023	0.54333059307506	"CN3"
"75"	"chrA"	110725001	125000000	14275000	"*"	"S_11"	2.7349822840036e-53	-4.6518907347036e-07	"CN2"
"76"	"chrA"	1	1775000	1775000	"*"	"S_12"	2.08642481267416e-52	1.19427454029823e-11	"CN2"
"77"	"chrA"	1775001	1850000	75000	"*"	"S_12"	-0.999999255532568	-0.989819782025394	"CN1"
"78"	"chrA"	1850001	30025000	28175000	"*"	"S_12"	1.90503715410182e-52	6.8305426718439e-06	"CN2"
"79"	"chrA"	30025001	30125000	100000	"*"	"S_12"	-5.32192809488736	-5.32192809488176	"CN0"
"80"	"chrA"	30125001	40750000	10625000	"*"	"S_12"	2.25288122938087e-52	-3.73268680686942e-06	"CN2"
"81"	"chrA"	40750001	40825000	75000	"*"	"S_12"	0.99826923603101	0.666095165613981	"CN4"
"82"	"chrA"	40825001	50350000	9525000	"*"	"S_12"	7.76011024396796e-53	0.00148376023400887	"CN2"
"83"	"chrA"	50350001	50450000	100000	"*"	"S_12"	-0.999981043193026	-0.999976903247316	"CN1"
"84"	"chrA"	50450001	53800000	3350000	"*"	"S_12"	1.69938024198017e-53	-0.00186851284703802	"CN2"
"85"	"chrA"	53800001	53900000	100000	"*"	"S_12"	-5.32192809488736	-5.32192809488736	"CN0"
"86"	"chrA"	53900001	87950000	34050000	"*"	"S_12"	3.39455839628559e-54	1.87616829349937e-06	"CN2"
"87"	"chrA"	87950001	88125000	175000	"*"	"S_12"	-0.999994148541605	-0.999278228632959	"CN1"
"88"	"chrA"	88125001	125000000	36875000	"*"	"S_12"	3.36230286702223e-53	0.000379141445732971	"CN2"
"89"	"chrA"	1	30025000	30025000	"*"	"S_13"	1.31449948437687e-52	2.83624445535603e-06	"CN2"
"90"	"chrA"	30025001	30125000	100000	"*"	"S_13"	-0.999976347095353	-0.999965574643059	"CN1"
"91"	"chrA"	30125001	44000000	13875000	"*"	"S_13"	1.25470299155428e-53	-0.00150417514110603	"CN2"
